County, Cases, LISA, ClusterType, PValue, Significance
Siskiyou , 0.0 , -0.022352941176470586 , 2 , 0.4204 , False
Del Norte , 0.0 , -0.22352941176470587 , 2 , 0.247 , True
Modoc , 0.0 , 0.2607843137254901 , 3 , 0.3507 , False
Trinity , 2.0 , 0.022352941176470586 , 1 , 0.3494 , False
Shasta , 1.0 , 0.08692810457516335 , 3 , 0.1573 , False
Lassen , 0.0 , 0.2794117647058823 , 3 , 0.1776 , False
Humboldt , 5.0 , -0.13039215686274508 , 4 , 0.4817 , False
Tehama , 0.0 , 0.07450980392156863 , 3 , 0.405 , False
Plumas , 0.0 , 0.2607843137254901 , 3 , 0.1508 , False
Butte , 1.0 , 0.11176470588235292 , 3 , 0.0001 , True
Glenn , 0.0 , 0.1564705882352941 , 3 , 0.3598 , False
Sierra , 0.0 , -0.05588235294117646 , 2 , 0.372 , False
Yuba , 0.0 , -0.0 , 3 , 0.4554 , False
Lake , 0.0 , -0.037254901960784285 , 2 , 0.406 , False
Nevada , 7.0 , -0.956209150326797 , 4 , 0.173 , False
Colusa , 0.0 , 0.29058823529411765 , 3 , 0.0401 , False
Mendocino , 3.0 , 0.14901960784313725 , 1 , 0.2156 , True
Sutter , 0.0 , 0.22352941176470587 , 3 , 0.1498 , False
Placer , 1.0 , -0.007450980392156852 , 2 , 0.4442 , False
El Dorado , 0.0 , 0.22352941176470587 , 3 , 0.2156 , False
Yolo , 0.0 , 0.26078431372549016 , 3 , 0.0756 , False
Alpine , 0.0 , 0.3352941176470588 , 3 , 0.0001 , False
Sonoma , 6.0 , -0.3352941176470588 , 4 , 0.3732 , False
Napa , 1.0 , 5.310866467331411e-18 , 3 , 0.459 , False
Sacramento , 1.0 , 0.09313725490196077 , 3 , 0.0602 , False
Mono , 0.0 , 0.24588235294117644 , 3 , 0.2277 , False
Amador , 0.0 , 0.29058823529411765 , 3 , 0.0428 , False
Solano , 0.0 , -0.03725490196078428 , 2 , 0.4239 , True
Calaveras , 0.0 , 0.3352941176470588 , 3 , 0.0001 , False
Tuolumne , 0.0 , 0.27142857142857135 , 3 , 0.0969 , True
San Joaquin , 0.0 , -0.11176470588235292 , 2 , 0.2611 , False
Marin , 1.0 , -0.03725490196078429 , 2 , 0.3223 , True
Contra Costa , 1.0 , -0.00532212885154061 , 2 , 0.4246 , True
Stanislaus , 0.0 , -0.07983193277310921 , 2 , 0.3162 , False
Alameda , 2.0 , 0.03725490196078429 , 1 , 0.3001 , False
Mariposa , 0.0 , 0.22352941176470587 , 3 , 0.2162 , False
Madera , 1.0 , 0.08196078431372547 , 3 , 0.2316 , False
San Francisco , 1.0 , 0.0372549019607843 , 3 , 0.4739 , True
San Mateo , 0.0 , -0.8941176470588236 , 2 , 0.0045 , False
Merced , 1.0 , -0.015966386554621837 , 2 , 0.3837 , False
Fresno , 1.0 , 0.0838235294117647 , 3 , 0.0663 , True
Santa Clara , 10.0 , 0.2714285714285713 , 1 , 0.2896 , False
Inyo , 0.0 , 0.20117647058823526 , 3 , 0.2933 , False
Santa Cruz , 9.0 , 1.3970588235294115 , 1 , 0.1261 , False
San Benito , 0.0 , -0.6482352941176471 , 2 , 0.0119 , False
Tulare , 0.0 , 0.2794117647058823 , 3 , 0.1816 , False
Kings , 0.0 , 0.24588235294117644 , 3 , 0.2256 , False
Monterey , 1.0 , -0.03725490196078429 , 2 , 0.2948 , False
San Bernardino , 2.0 , 0.15647058823529406 , 1 , 0.0598 , False
Kern , 0.0 , -0.02794117647058823 , 2 , 0.3995 , False
San Luis Obispo , 0.0 , 0.11176470588235293 , 3 , 0.4141 , False
Ventura , 0.0 , -0.48431372549019597 , 2 , 0.0725 , False
Santa Barbara , 3.0 , -0.3352941176470588 , 4 , 0.0001 , False
Riverside , 4.0 , 0.9313725490196075 , 1 , 0.0508 , False
Orange , 6.0 , 2.6823529411764704 , 1 , 0.0029 , True
Imperial , 0.0 , -1.0058823529411762 , 2 , 0.0217 , True
Los Angeles , 8.0 , 0.48431372549019586 , 1 , 0.2995 , False
San Diego , 8.0 , 1.7758169934640515 , 1 , 0.1286 , False
