County, Cases, LISA, ClusterType, PValue, Significance
Siskiyou , 0.0 , -0.14352205875768942 , 2 , 0.2935 , False
Del Norte , 0.0 , -0.7459370159116755 , 2 , 0.0393 , True
Modoc , 0.0 , 0.25808791267830133 , 3 , 0.2012 , False
Trinity , 0.0 , -0.4721120353871364 , 2 , 0.0415 , False
Shasta , 1.0 , 0.07553792566194187 , 3 , 0.0454 , False
Lassen , 0.0 , 0.28090666105534623 , 3 , 0.2334 , False
Humboldt , 8.0 , 0.32346054316388895 , 1 , 0.3566 , False
Tehama , 0.0 , 0.02990042890785207 , 3 , 0.4253 , False
Plumas , 0.0 , 0.3037254094323912 , 3 , 0.0993 , False
Butte , 0.0 , 0.3493629061864811 , 3 , 0.0398 , True
Glenn , 0.0 , 0.020772929557034067 , 3 , 0.447 , False
Sierra , 0.0 , 0.07553792566194187 , 3 , 0.483 , False
Yuba , 0.0 , 0.16681291917012162 , 3 , 0.2469 , False
Lake , 0.0 , -0.19828705486259718 , 2 , 0.2215 , False
Nevada , 4.0 , -0.7459370159116756 , 4 , 0.0001 , False
Colusa , 0.0 , 0.3493629061864811 , 3 , 0.0666 , False
Mendocino , 6.0 , 1.0721621791026061 , 1 , 0.1067 , True
Sutter , 0.0 , 0.3493629061864811 , 3 , 0.0385 , False
Placer , 0.0 , 0.020772929557034043 , 3 , 0.4932 , False
El Dorado , 2.0 , -0.15943351032870995 , 4 , 0.2358 , False
Yolo , 0.0 , 0.3493629061864811 , 3 , 0.0408 , False
Alpine , 0.0 , 0.1303029217668497 , 3 , 0.3879 , False
Sonoma , 6.0 , 0.39623384879878903 , 1 , 0.286 , False
Napa , 0.0 , -0.061374564600327655 , 2 , 0.4067 , False
Sacramento , 0.0 , 0.2124504159242115 , 3 , 0.1608 , False
Mono , 1.0 , 0.06369684542304287 , 3 , 0.1581 , False
Amador , 1.0 , 0.05185576518414388 , 3 , 0.2604 , False
Solano , 0.0 , -0.1070120613544175 , 2 , 0.3052 , True
Calaveras , 0.0 , 0.29459791008157316 , 3 , 0.1542 , False
Tuolumne , 0.0 , 0.3102450518258327 , 3 , 0.0326 , True
San Joaquin , 0.0 , -0.08093349178065187 , 2 , 0.3199 , False
Marin , 3.0 , 0.3604639189104486 , 1 , 0.1622 , True
Contra Costa , 1.0 , -0.03441496227069163 , 2 , 0.2262 , True
Stanislaus , 0.0 , -0.002697783059354968 , 2 , 0.4704 , False
Alameda , 2.0 , 0.11254130140850108 , 1 , 0.2139 , False
Mariposa , 0.0 , 0.3493629061864811 , 3 , 0.1146 , False
Madera , 0.0 , 0.2398329139766654 , 3 , 0.2485 , False
San Francisco , 2.0 , 0.11254130140850113 , 1 , 0.1893 , True
San Mateo , 2.0 , 0.46222320221348673 , 1 , 0.0089 , False
Merced , 0.0 , 0.03642007130129346 , 3 , 0.4726 , False
Fresno , 1.0 , 0.06073657536331814 , 3 , 0.0429 , True
Santa Clara , 7.0 , 0.1876052922086639 , 1 , 0.3504 , False
Inyo , 0.0 , 0.1303029217668497 , 3 , 0.3812 , False
Santa Cruz , 6.0 , 1.2411442616785602 , 1 , 0.119 , False
San Benito , 0.0 , -0.4721120353871365 , 2 , 0.0428 , False
Tulare , 0.0 , 0.14399417079307666 , 3 , 0.4368 , False
Kings , 0.0 , 0.1303029217668497 , 3 , 0.3875 , False
Monterey , 1.0 , -0.007349636010351088 , 2 , 0.4038 , False
San Bernardino , 0.0 , -0.307817047072413 , 2 , 0.112 , False
Kern , 2.0 , -0.06229964899399174 , 4 , 0.2811 , False
San Luis Obispo , 0.0 , 0.07553792566194188 , 3 , 0.4479 , False
Ventura , 1.0 , -0.08234314419004471 , 2 , 0.0985 , False
Santa Barbara , 1.0 , 0.016332524467446898 , 3 , 0.4744 , False
Riverside , 0.0 , -0.40365579025600157 , 2 , 0.0901 , False
Orange , 5.0 , 1.17823852290941 , 1 , 0.0917 , True
Imperial , 0.0 , -0.47211203538713636 , 2 , 0.1372 , True
Los Angeles , 5.0 , 0.5787838358151487 , 1 , 0.1808 , False
San Diego , 6.0 , 0.39623384879878903 , 1 , 0.3594 , False
