County, Cases, LISA, ClusterType, PValue, Significance
Siskiyou , 0.0 , -0.32299620826199754 , 2 , 0.1098 , False
Del Norte , 0.0 , -0.8872666925751258 , 2 , 0.0305 , True
Modoc , 0.0 , 0.20365624376358876 , 3 , 0.2942 , False
Trinity , 2.0 , 0.06393212383843326 , 1 , 0.1998 , False
Shasta , 2.0 , -0.07661876602710786 , 4 , 0.0859 , False
Lassen , 0.0 , 0.24127427605113066 , 3 , 0.1978 , False
Humboldt , 11.0 , -1.4502970219776756 , 4 , 0.2077 , False
Tehama , 0.0 , 0.20365624376358876 , 3 , 0.1928 , False
Plumas , 0.0 , 0.2788923083386725 , 3 , 0.1162 , False
Butte , 0.0 , 0.35412837291375626 , 3 , 0.0292 , True
Glenn , 0.0 , 0.35412837291375626 , 3 , 0.059 , False
Sierra , 0.0 , 0.18484722761981784 , 3 , 0.2835 , False
Yuba , 0.0 , 0.1660382114760469 , 3 , 0.239 , False
Lake , 0.0 , 0.015566082325879372 , 3 , 0.4968 , False
Nevada , 3.0 , -0.18575239815799854 , 4 , 0.3164 , False
Colusa , 0.0 , 0.35412837291375626 , 3 , 0.0551 , False
Mendocino , 0.0 , -0.4358503051246231 , 2 , 0.0542 , True
Sutter , 0.0 , 0.09080214690096312 , 3 , 0.3836 , False
Placer , 2.0 , 0.03912902562686719 , 1 , 0.3033 , False
El Dorado , 3.0 , 0.037268793260999744 , 1 , 0.4183 , False
Yolo , 0.0 , 0.128420179188505 , 3 , 0.3023 , False
Alpine , 0.0 , 0.1735618179335553 , 3 , 0.2568 , False
Sonoma , 8.0 , -0.21799642583303444 , 4 , 0.4814 , False
Napa , 1.0 , -0.035280269007831065 , 2 , 0.3043 , False
Sacramento , 5.0 , -0.21913323450106453 , 4 , 0.346 , False
Mono , 0.0 , 0.30898673416870603 , 3 , 0.1179 , False
Amador , 0.0 , -0.007004737046645751 , 2 , 0.4355 , False
Solano , 0.0 , -0.4358503051246232 , 2 , 0.0409 , True
Calaveras , 0.0 , 0.26384509542365575 , 3 , 0.1829 , False
Tuolumne , 1.0 , 0.11672729003162385 , 3 , 0.0451 , True
San Joaquin , 0.0 , -0.19402009756185395 , 2 , 0.1779 , False
Marin , 3.0 , 0.6548659387289951 , 1 , 0.0187 , True
Contra Costa , 4.0 , 0.850190337145078 , 1 , 0.0138 , True
Stanislaus , 1.0 , 0.034877065933455825 , 3 , 0.3456 , False
Alameda , 5.0 , 0.7885959765863554 , 1 , 0.0774 , False
Mariposa , 0.0 , 0.24127427605113066 , 3 , 0.2037 , False
Madera , 0.0 , 0.30898673416870603 , 3 , 0.116 , False
San Francisco , 7.0 , 2.094685789910406 , 1 , 0.0238 , True
San Mateo , 5.0 , 0.9531231947230769 , 1 , 0.0874 , False
Merced , 0.0 , 0.2251522622136127 , 3 , 0.124 , False
Fresno , 0.0 , 0.3541283729137564 , 3 , 0.0001 , True
Santa Clara , 2.0 , 0.00015272843726334324 , 1 , 0.491 , False
Inyo , 0.0 , 0.2638450954236558 , 3 , 0.1838 , False
Santa Cruz , 0.0 , -0.040860966105433445 , 2 , 0.3838 , False
San Benito , 0.0 , 0.26384509542365575 , 3 , 0.1838 , False
Tulare , 0.0 , 0.24127427605113066 , 3 , 0.2007 , False
Kings , 0.0 , 0.21870345667860552 , 3 , 0.2383 , False
Monterey , 0.0 , 0.3089867341687061 , 3 , 0.0668 , False
San Bernardino , 0.0 , -0.3681378470070479 , 2 , 0.0846 , False
Kern , 2.0 , -0.01202736443448786 , 4 , 0.424 , False
San Luis Obispo , 1.0 , 0.087495067139421 , 3 , 0.206 , False
Ventura , 1.0 , -0.17169730917144446 , 2 , 0.0909 , False
Santa Barbara , 0.0 , 0.05318411461342125 , 3 , 0.4379 , False
Riverside , 4.0 , 0.23817388877468498 , 1 , 0.2658 , False
Orange , 1.0 , -0.3012934973268772 , 2 , 0.0078 , True
Imperial , 0.0 , -1.0001207894377515 , 2 , 0.0232 , True
Los Angeles , 9.0 , -0.6082318376950074 , 4 , 0.396 , False
San Diego , 8.0 , 0.09038876193077054 , 1 , 0.3754 , False
