County, Cases, LISA, ClusterType, PValue, Significance
Siskiyou , 0.0 , -0.01993384625101467 , 2 , 0.4481 , False
Del Norte , 0.0 , -0.22100568669603196 , 2 , 0.2432 , True
Modoc , 0.0 , 0.19789398089775406 , 3 , 0.2047 , False
Trinity , 1.0 , -0.002146721903955423 , 2 , 0.4546 , False
Shasta , 1.0 , 0.021311659481296572 , 3 , 0.2582 , False
Lassen , 0.0 , 0.15600401413837545 , 3 , 0.4392 , False
Humboldt , 4.0 , -0.4008103132478262 , 4 , 0.3464 , False
Tehama , 0.0 , 0.030334113860239657 , 3 , 0.4863 , False
Plumas , 1.0 , 0.021311659481296576 , 3 , 0.2447 , False
Butte , 1.0 , 0.021311659481296576 , 3 , 0.2391 , True
Glenn , 1.0 , 0.01950716860550796 , 3 , 0.3355 , False
Sierra , 0.0 , 0.21883896427744337 , 3 , 0.1116 , False
Yuba , 0.0 , 0.19789398089775406 , 3 , 0.1367 , False
Lake , 0.0 , -0.26289565345541055 , 2 , 0.1055 , False
Nevada , 0.0 , 0.28167391441651124 , 3 , 0.0001 , False
Colusa , 0.0 , 0.18113799419400262 , 3 , 0.2199 , False
Mendocino , 1.0 , -0.04184552117130497 , 2 , 0.045 , True
Sutter , 0.0 , 0.23978394765713265 , 3 , 0.1196 , False
Placer , 0.0 , 0.23140595430525696 , 3 , 0.0651 , False
El Dorado , 1.0 , 0.030334113860239653 , 3 , 0.0001 , False
Yolo , 0.0 , 0.23978394765713265 , 3 , 0.1216 , False
Alpine , 0.0 , 0.23140595430525693 , 3 , 0.0669 , False
Sonoma , 10.0 , 0.7553527693110234 , 1 , 0.1961 , False
Napa , 1.0 , -0.03733429398183343 , 2 , 0.1132 , False
Sacramento , 0.0 , 0.15600401413837545 , 3 , 0.2269 , False
Mono , 0.0 , 0.23140595430525696 , 3 , 0.065 , False
Amador , 0.0 , 0.18113799419400262 , 3 , 0.2169 , False
Solano , 0.0 , -0.4723454872523036 , 2 , 0.0223 , True
Calaveras , 0.0 , 0.23140595430525696 , 3 , 0.0655 , False
Tuolumne , 0.0 , 0.24576822862275813 , 3 , 0.0294 , True
San Joaquin , 1.0 , -0.000600015438993751 , 2 , 0.4427 , False
Marin , 5.0 , 1.6350420712579745 , 1 , 0.0416 , True
Contra Costa , 2.0 , 0.25792092227602853 , 1 , 0.0494 , True
Stanislaus , 0.0 , -0.005571571933513407 , 2 , 0.457 , False
Alameda , 1.0 , -0.032823066792361875 , 2 , 0.0932 , False
Mariposa , 1.0 , 0.030334113860239653 , 3 , 0.0001 , False
Madera , 0.0 , 0.18113799419400262 , 3 , 0.2241 , False
San Francisco , 0.0 , -0.5980153875304394 , 2 , 0.0326 , True
San Mateo , 6.0 , 1.7829458769699336 , 1 , 0.077 , False
Merced , 0.0 , 0.030334113860239674 , 3 , 0.4433 , False
Fresno , 1.0 , 0.030334113860239646 , 3 , 0.0125 , True
Santa Clara , 5.0 , 0.6407307723540422 , 1 , 0.1655 , False
Inyo , 0.0 , 0.23140595430525693 , 3 , 0.0698 , False
Santa Cruz , 5.0 , 1.417536474622739 , 1 , 0.079 , False
San Benito , 0.0 , -0.2712736468072862 , 2 , 0.1449 , False
Tulare , 0.0 , 0.21883896427744337 , 3 , 0.1211 , False
Kings , 0.0 , 0.08060207397149395 , 3 , 0.4349 , False
Monterey , 0.0 , -0.17073772658477765 , 2 , 0.2023 , False
San Bernardino , 0.0 , -0.01993384625101468 , 2 , 0.3852 , False
Kern , 0.0 , 0.03033411386023965 , 3 , 0.4603 , False
San Luis Obispo , 3.0 , -0.4723454872523035 , 4 , 0.0001 , False
Ventura , 0.0 , -0.1372257531772747 , 2 , 0.2708 , False
Santa Barbara , 0.0 , 0.03033411386023965 , 3 , 0.413 , False
Riverside , 1.0 , -0.017033771629211502 , 2 , 0.2067 , False
Orange , 0.0 , -0.5351804373913714 , 2 , 0.0358 , True
Imperial , 0.0 , -0.7236852878085752 , 2 , 0.0479 , True
Los Angeles , 5.0 , -0.9750250883648468 , 4 , 0.0001 , False
San Diego , 7.0 , -1.0381822690174483 , 4 , 0.2255 , False
