County, Cases, LISA, ClusterType, PValue, Significance
Siskiyou , 0.0 , 0.021049089924338172 , 3 , 0.4322 , False
Del Norte , 0.0 , -0.3858999819461997 , 2 , 0.1323 , True
Modoc , 0.0 , 0.2923484711713634 , 3 , 0.1879 , False
Trinity , 0.0 , -0.43111654548737066 , 2 , 0.0479 , False
Shasta , 0.0 , 0.2923484711713634 , 3 , 0.0315 , False
Lassen , 0.0 , 0.2923484711713634 , 3 , 0.103 , False
Humboldt , 6.0 , 0.9932052060595119 , 1 , 0.1692 , False
Tehama , 0.0 , -0.1598171642403453 , 2 , 0.2137 , False
Plumas , 0.0 , 0.21698753193607861 , 3 , 0.1705 , False
Butte , 2.0 , -0.1598171642403453 , 4 , 0.0001 , True
Glenn , 0.0 , -0.25025029132268706 , 2 , 0.1349 , False
Sierra , 0.0 , 0.17930706231843624 , 3 , 0.3741 , False
Yuba , 0.0 , 0.10394612308315146 , 3 , 0.3791 , False
Lake , 0.0 , -0.46126092118148443 , 2 , 0.032 , False
Nevada , 2.0 , -0.11861985079172298 , 4 , 0.2072 , False
Colusa , 0.0 , 0.2019153440890217 , 3 , 0.1336 , False
Mendocino , 10.0 , 2.090962887586827 , 1 , 0.0502 , True
Sutter , 0.0 , 0.17930706231843624 , 3 , 0.2642 , False
Placer , 1.0 , 0.03551839025751285 , 3 , 0.332 , False
El Dorado , 1.0 , 0.05345429379551063 , 3 , 0.2414 , False
Yolo , 0.0 , 0.2923484711713634 , 3 , 0.0325 , False
Alpine , 0.0 , 0.24713190763019255 , 3 , 0.1453 , False
Sonoma , 10.0 , 1.3298174013104507 , 1 , 0.1019 , False
Napa , 0.0 , -0.27285857309327255 , 2 , 0.156 , False
Sacramento , 0.0 , 0.20756741453166802 , 3 , 0.1362 , False
Mono , 0.0 , 0.2019153440890217 , 3 , 0.1473 , False
Amador , 0.0 , 0.24713190763019255 , 3 , 0.1461 , False
Solano , 0.0 , -0.19749763385798771 , 2 , 0.1614 , True
Calaveras , 0.0 , 0.24713190763019255 , 3 , 0.142 , False
Tuolumne , 0.0 , 0.26005092578481276 , 3 , 0.0444 , True
San Joaquin , 0.0 , 0.03396810807895844 , 3 , 0.4511 , False
Marin , 2.0 , 0.3036526120566561 , 1 , 0.0432 , True
Contra Costa , 1.0 , -0.09479143952875674 , 2 , 0.0263 , True
Stanislaus , 1.0 , 0.022340991739800194 , 3 , 0.3581 , False
Alameda , 6.0 , 0.03310684020198364 , 1 , 0.3722 , False
Mariposa , 0.0 , 0.23582776674489983 , 3 , 0.2296 , False
Madera , 0.0 , 0.2019153440890217 , 3 , 0.1396 , False
San Francisco , 4.0 , 0.6895006209413141 , 1 , 0.1298 , True
San Mateo , 2.0 , 0.18006067171078902 , 1 , 0.1486 , False
Merced , 0.0 , 0.19545583501171152 , 3 , 0.182 , False
Fresno , 2.0 , -0.1598171642403453 , 4 , 0.0001 , True
Santa Clara , 0.0 , -0.030626982694142806 , 2 , 0.4283 , False
Inyo , 0.0 , -0.06938403715800356 , 2 , 0.3203 , False
Santa Cruz , 1.0 , 0.04064293412551221 , 3 , 0.3831 , False
San Benito , 0.0 , 0.1566987805478508 , 3 , 0.3263 , False
Tulare , 0.0 , -0.10329645981388172 , 2 , 0.2898 , False
Kings , 0.0 , -0.06938403715800356 , 2 , 0.3233 , False
Monterey , 0.0 , 0.11148221700667993 , 3 , 0.4283 , False
San Bernardino , 1.0 , -0.08747066257447192 , 2 , 0.0707 , False
Kern , 5.0 , 0.29611651813312756 , 1 , 0.2547 , False
San Luis Obispo , 1.0 , -0.023413864224479854 , 2 , 0.2826 , False
Ventura , 2.0 , 0.45814253748898975 , 1 , 0.019 , False
Santa Barbara , 2.0 , 0.1697613433486334 , 1 , 0.1918 , False
Riverside , 1.0 , 0.0022088551155169714 , 3 , 0.3951 , False
Orange , 1.0 , -0.10028202224447035 , 2 , 0.0514 , True
Imperial , 0.0 , -0.1598171642403453 , 2 , 0.2153 , True
Los Angeles , 8.0 , 1.1220724121518488 , 1 , 0.1693 , False
San Diego , 3.0 , -0.1869471023650478 , 4 , 0.4422 , False
