County, Cases, LISA, ClusterType, PValue, Significance
Siskiyou , 0.0 , 0.09939863737486097 , 3 , 0.4452 , False
Del Norte , 0.0 , -0.2094471287541713 , 2 , 0.2296 , True
Modoc , 0.0 , 0.30529581479421586 , 3 , 0.2141 , False
Trinity , 0.0 , 0.09939863737486097 , 3 , 0.4406 , False
Shasta , 0.0 , 0.3052958147942158 , 3 , 0.0001 , False
Lassen , 0.0 , 0.30529581479421586 , 3 , 0.1174 , False
Humboldt , 5.0 , -0.7241900723025584 , 4 , 0.0001 , False
Tehama , 0.0 , 0.2709796185576567 , 3 , 0.1012 , False
Plumas , 0.0 , 0.2709796185576567 , 3 , 0.1001 , False
Butte , 1.0 , 0.09939863737486096 , 3 , 0.047 , True
Glenn , 0.0 , 0.2641163793103449 , 3 , 0.1585 , False
Sierra , 0.0 , 0.20234722608453842 , 3 , 0.241 , False
Yuba , 0.0 , 0.09939863737486095 , 3 , 0.3894 , False
Lake , 0.0 , -0.003549951334816457 , 2 , 0.4829 , False
Nevada , 2.0 , -0.03467394327030033 , 4 , 0.4721 , False
Colusa , 0.0 , 0.22293694382647392 , 3 , 0.149 , False
Mendocino , 0.0 , -0.14081473628105304 , 2 , 0.2411 , True
Sutter , 0.0 , 0.030766244901742693 , 3 , 0.4802 , False
Placer , 3.0 , 0.024701056729699647 , 1 , 0.4148 , False
El Dorado , 3.0 , 0.056303879310344807 , 1 , 0.3759 , False
Yolo , 1.0 , 0.06588049221357066 , 3 , 0.2046 , False
Alpine , 0.0 , 0.099398637374861 , 3 , 0.3906 , False
Sonoma , 8.0 , -0.13522837875417124 , 4 , 0.4497 , False
Napa , 0.0 , -0.15797283439933263 , 2 , 0.2504 , False
Sacramento , 3.0 , -0.07537454810901004 , 4 , 0.3611 , False
Mono , 0.0 , 0.18175750834260293 , 3 , 0.3166 , False
Amador , 1.0 , 0.018955088987764192 , 3 , 0.4896 , False
Solano , 0.0 , -0.38102810993696695 , 2 , 0.0675 , True
Calaveras , 0.0 , 0.22293694382647392 , 3 , 0.1581 , False
Tuolumne , 1.0 , 0.099398637374861 , 3 , 0.0001 , True
San Joaquin , 0.0 , -0.19474018750993166 , 2 , 0.1628 , False
Marin , 7.0 , 1.5454671857619577 , 1 , 0.076 , True
Contra Costa , 1.0 , -0.14959329810901 , 2 , 0.0238 , True
Stanislaus , 0.0 , -0.0770846575560146 , 2 , 0.3194 , False
Alameda , 3.0 , 0.28454648683722655 , 1 , 0.1151 , False
Mariposa , 0.0 , 0.2538215204393771 , 3 , 0.2365 , False
Madera , 0.0 , 0.22293694382647392 , 3 , 0.1602 , False
San Francisco , 5.0 , 0.863133516407119 , 1 , 0.0981 , True
San Mateo , 2.0 , 0.30649289140711905 , 1 , 0.0036 , False
Merced , 0.0 , -0.01825689257905608 , 2 , 0.4387 , False
Fresno , 1.0 , 0.09101910108453842 , 3 , 0.016 , True
Santa Clara , 9.0 , 0.09255819958684253 , 1 , 0.3469 , False
Inyo , 1.0 , 0.07258412124582873 , 3 , 0.1631 , False
Santa Cruz , 6.0 , 0.794900149471635 , 1 , 0.1813 , False
San Benito , 0.0 , -0.3535751529477197 , 2 , 0.0855 , False
Tulare , 0.0 , 0.15087293172969968 , 3 , 0.4209 , False
Kings , 0.0 , 0.22293694382647392 , 3 , 0.1549 , False
Monterey , 0.0 , 0.017039766407119045 , 3 , 0.4846 , False
San Bernardino , 0.0 , -0.3123957174638487 , 2 , 0.1021 , False
Kern , 1.0 , -0.0011557981090100046 , 2 , 0.4459 , False
San Luis Obispo , 0.0 , 0.2538215204393771 , 3 , 0.2341 , False
Ventura , 0.0 , -0.5182928948832036 , 2 , 0.0689 , False
Santa Barbara , 0.0 , 0.23666342232109752 , 3 , 0.3602 , False
Riverside , 0.0 , -0.26092142310901 , 2 , 0.1566 , False
Orange , 2.0 , 0.25262444382647387 , 1 , 0.0111 , True
Imperial , 0.0 , -0.621241483592881 , 2 , 0.0723 , True
Los Angeles , 11.0 , -0.9683937013348166 , 4 , 0.3669 , False
San Diego , 9.0 , -0.8518782443455692 , 4 , 0.3839 , False
