County, Cases, LISA, ClusterType, PValue, Significance
Siskiyou , 0.0 , 0.043808543489449354 , 3 , 0.4665 , False
Del Norte , 0.0 , -0.27380339680905813 , 2 , 0.1501 , True
Modoc , 0.0 , 0.25554983702178763 , 3 , 0.2228 , False
Trinity , 0.0 , -0.27380339680905813 , 2 , 0.1452 , False
Shasta , 0.0 , 0.2555498370217877 , 3 , 0.0432 , False
Lassen , 0.0 , 0.2555498370217877 , 3 , 0.1314 , False
Humboldt , 4.0 , 0.44460456338994664 , 1 , 0.2398 , False
Tehama , 0.0 , -0.05323954937953905 , 2 , 0.3614 , False
Plumas , 0.0 , 0.16732429804998003 , 3 , 0.1944 , False
Butte , 1.0 , -0.007551323840567272 , 4 , 0.0532 , True
Glenn , 0.0 , -0.11499742665980438 , 2 , 0.2942 , False
Sierra , 0.0 , 0.1232115285640762 , 3 , 0.4823 , False
Yuba , 1.0 , -0.0028249556813632953 , 4 , 0.4463 , False
Lake , 0.0 , -0.4502544747526734 , 2 , 0.0254 , False
Nevada , 1.0 , 0.00032595642477268753 , 1 , 0.3517 , False
Colusa , 0.0 , 0.2026145136387031 , 3 , 0.2264 , False
Mendocino , 6.0 , 1.6577057242523017 , 1 , 0.0443 , True
Sutter , 0.0 , 0.034985989592268556 , 3 , 0.4481 , False
Placer , 2.0 , 0.009778692743180635 , 1 , 0.3434 , False
El Dorado , 2.0 , -0.061116829644879085 , 4 , 0.4732 , False
Yolo , 0.0 , 0.16732429804998003 , 3 , 0.2019 , False
Alpine , 0.0 , 0.14967919025561852 , 3 , 0.2691 , False
Sonoma , 9.0 , 0.810110367701721 , 1 , 0.2085 , False
Napa , 1.0 , 0.012141876822782628 , 1 , 0.0943 , False
Sacramento , 1.0 , -0.004400411734431288 , 4 , 0.2368 , False
Mono , 0.0 , 0.2555498370217877 , 3 , 0.076 , False
Amador , 0.0 , 0.09674386687253392 , 3 , 0.4651 , False
Solano , 0.0 , -0.27380339680905813 , 2 , 0.0948 , True
Calaveras , 0.0 , 0.2026145136387031 , 3 , 0.2232 , False
Tuolumne , 0.0 , 0.21773889174815586 , 3 , 0.105 , True
San Joaquin , 0.0 , 0.06649511065362844 , 3 , 0.4714 , False
Marin , 1.0 , 0.014505060902384615 , 1 , 0.0612 , True
Contra Costa , 0.0 , -0.23599245153542633 , 2 , 0.1022 , True
Stanislaus , 1.0 , -0.005075607185746142 , 4 , 0.2273 , False
Alameda , 1.0 , -0.0012494996282953039 , 4 , 0.4466 , False
Mariposa , 0.0 , 0.18938068279293196 , 3 , 0.3225 , False
Madera , 0.0 , 0.2555498370217877 , 3 , 0.0795 , False
San Francisco , 1.0 , -0.0020372276548293006 , 4 , 0.4758 , True
San Mateo , 1.0 , 0.009778692743180639 , 1 , 0.1486 , False
Merced , 0.0 , 0.14211700120089216 , 3 , 0.2952 , False
Fresno , 0.0 , 0.2224652599073598 , 3 , 0.0641 , True
Santa Clara , 2.0 , 0.0097786927431806 , 1 , 0.4176 , False
Inyo , 0.0 , 0.2026145136387031 , 3 , 0.2256 , False
Santa Cruz , 4.0 , -0.17927603362497865 , 4 , 0.4465 , False
San Benito , 0.0 , -0.06206210327671982 , 2 , 0.3478 , False
Tulare , 0.0 , 0.1232115285640762 , 3 , 0.489 , False
Kings , 1.0 , -0.007236232629953673 , 4 , 0.0919 , False
Monterey , 0.0 , -0.00912677989363524 , 2 , 0.4222 , False
San Bernardino , 0.0 , -0.167932750042889 , 2 , 0.2084 , False
Kern , 1.0 , -0.004400411734431287 , 4 , 0.2573 , False
San Luis Obispo , 0.0 , 0.12321152856407622 , 3 , 0.4766 , False
Ventura , 0.0 , -0.0973523188654429 , 2 , 0.2361 , False
Santa Barbara , 0.0 , 0.16732429804998003 , 3 , 0.2224 , False
Riverside , 4.0 , 0.8605249613998969 , 1 , 0.1694 , False
Orange , 0.0 , -0.7369874764110482 , 2 , 0.0126 , True
Imperial , 0.0 , -1.3325098644707496 , 2 , 0.0059 , True
Los Angeles , 3.0 , -0.39905215302796365 , 4 , 0.1488 , False
San Diego , 8.0 , 0.7092811803053695 , 1 , 0.2768 , False
