County, Cases, LISA, ClusterType, PValue, Significance
Siskiyou , 1.0 , 0.058185785624689366 , 3 , 0.3201 , False
Del Norte , 0.0 , -0.12286843537736966 , 2 , 0.238 , True
Modoc , 0.0 , 0.2127938844579083 , 3 , 0.3778 , False
Trinity , 0.0 , 0.10951317066243818 , 3 , 0.3903 , False
Shasta , 0.0 , 0.23861406290677586 , 3 , 0.0304 , False
Lassen , 0.0 , 0.2644342413556434 , 3 , 0.105 , False
Humboldt , 4.0 , -0.30321846969445954 , 4 , 0.2673 , False
Tehama , 0.0 , 0.2644342413556434 , 3 , 0.0284 , False
Plumas , 0.0 , 0.2644342413556434 , 3 , 0.0286 , False
Butte , 0.0 , 0.2644342413556434 , 3 , 0.0297 , True
Glenn , 0.0 , 0.2644342413556434 , 3 , 0.0582 , False
Sierra , 0.0 , 0.2257039736823421 , 3 , 0.2368 , False
Yuba , 0.0 , 0.2127938844579083 , 3 , 0.1628 , False
Lake , 0.0 , 0.05787281376470308 , 3 , 0.4823 , False
Nevada , 1.0 , 0.08812676023004283 , 3 , 0.3805 , False
Colusa , 0.0 , 0.23345002721700236 , 3 , 0.1542 , False
Mendocino , 0.0 , -0.01958772158189952 , 2 , 0.3827 , True
Sutter , 0.0 , 0.2127938844579083 , 3 , 0.1612 , False
Placer , 1.0 , 0.09668132440300098 , 3 , 0.066 , False
El Dorado , 0.0 , 0.1869737060090408 , 3 , 0.2327 , False
Yolo , 1.0 , 0.10951317066243817 , 3 , 0.036 , False
Alpine , 0.0 , 0.20246581307836134 , 3 , 0.1913 , False
Sonoma , 7.0 , -0.019326911698577618 , 4 , 0.4002 , False
Napa , 0.0 , -0.04540790003076704 , 2 , 0.3057 , False
Sacramento , 0.0 , 0.10951317066243818 , 3 , 0.3176 , False
Mono , 1.0 , 0.10951317066243817 , 3 , 0.0686 , False
Amador , 1.0 , 0.10951317066243817 , 3 , 0.0677 , False
Solano , 0.0 , -0.20032897072397227 , 2 , 0.1581 , True
Calaveras , 0.0 , 0.23345002721700236 , 3 , 0.1542 , False
Tuolumne , 0.0 , 0.2201710783004419 , 3 , 0.0573 , True
San Joaquin , 0.0 , -0.15606580766877073 , 2 , 0.204 , False
Marin , 5.0 , 0.6853813930371808 , 1 , 0.106 , True
Contra Costa , 5.0 , 0.17300174797393925 , 1 , 0.2644 , True
Stanislaus , 0.0 , -0.04540790003076701 , 2 , 0.3568 , False
Alameda , 0.0 , -0.4843509336615151 , 2 , 0.023 , False
Mariposa , 1.0 , 0.10951317066243817 , 3 , 0.1176 , False
Madera , 0.0 , 0.20246581307836134 , 3 , 0.1931 , False
San Francisco , 4.0 , 0.529286677869027 , 1 , 0.1077 , True
San Mateo , 7.0 , 1.8222516744373176 , 1 , 0.0316 , False
Merced , 0.0 , -0.04540790003076701 , 2 , 0.3645 , False
Fresno , 0.0 , 0.20633883984569146 , 3 , 0.0686 , True
Santa Clara , 13.0 , 0.00757376483833775 , 1 , 0.3334 , False
Inyo , 0.0 , 0.20246581307836137 , 3 , 0.1485 , False
Santa Cruz , 5.0 , 1.058991550895794 , 1 , 0.0413 , False
San Benito , 0.0 , -0.32426582727853637 , 2 , 0.1016 , False
Tulare , 0.0 , 0.2257039736823421 , 3 , 0.2451 , False
Kings , 1.0 , 0.04535393936525218 , 3 , 0.3376 , False
Monterey , 1.0 , -0.018805291931933824 , 2 , 0.3282 , False
San Bernardino , 1.0 , -0.13429190826686863 , 2 , 0.0915 , False
Kern , 0.0 , -0.3358849075805268 , 2 , 0.0417 , False
San Luis Obispo , 4.0 , 0.06100253236456581 , 1 , 0.3171 , False
Ventura , 2.0 , 0.15854542872695426 , 1 , 0.0119 , False
Santa Barbara , 6.0 , 0.11420774856223227 , 1 , 0.2838 , False
Riverside , 2.0 , 0.014447968191607692 , 1 , 0.2893 , False
Orange , 0.0 , -0.8200132534967932 , 2 , 0.007 , True
Imperial , 0.0 , -0.5101711121103827 , 2 , 0.0815 , True
Los Angeles , 17.0 , -1.328201311149504 , 4 , 0.4006 , False
San Diego , 8.0 , -0.5941518945400325 , 4 , 0.4264 , False
